"State Name","Wind","Solar","Biomass","Bagasse","Small Hydel","Others","RE Generation Total"
"Nagaland<br>Sep-2019",0,0,0,0,8.16,0,8.16
"Tripura<br>Sep-2019",0,0,0,0,1.77,0,1.77
"Puducherry<br>Sep-2019",0,0.37,0,0,0,0,0.37
"Lakshadweep<br>Sep-2019",0,0.05,0,0,0,0,0.05
"Uttarakhand<br>Sep-2019",0,29.2,0,0,84.68,0,113.88000000000001
"Uttar Pradesh<br>Sep-2019",0,93.17,0.74,8.32,1.71,0,103.93999999999998
"Rajasthan<br>Sep-2019",350.1,617.03,31.1,0,0.08,0,998.3100000000001
"Punjab<br>Sep-2019",0,115.72,25.86,0.86,85.01,0.03,227.48
"J&K<br>Sep-2019",0,0,0,0,29.54,0,29.54
"HP<br>Sep-2019",0,0,0,0,276.81,0,276.81
"Haryana<br>Sep-2019",0,17.48,16.79,0,34.22,0,68.49
"Delhi<br>Sep-2019",0,12.74,0,0,0,25.11,37.85
"Chhattisgarh<br>Sep-2019",0,20.65,44.62,0,18.22,0,83.49
"Gujarat<br>Sep-2019",589.26,205.55,3.76,0,24.56,0,823.1299999999999
"Madhya Pradesh<br>Sep-2019",261.5,201.33,0.16,0,38.13,1.47,502.5900000000001
"Tamil Nadu<br>Sep-2019",1570.67,396.85,8.94,25.96,41,0,2043.42
"Kerala<br>Sep-2019",11.44,12.6,0,4.12,76.54,0,104.7
"Karnataka<br>Sep-2019",1075.14,820.98,11.18,91.48,349.27,0,2348.05
"Telangana<br>Sep-2019",22.26,420.1,9.95,1.73,7.07,0,461.11
"Andhra Pradesh<br>Sep-2019",716.62,403.74,11.39,0,33.78,0.16,1165.6900000000003
"Daman & Diu<br>Sep-2019",0,1.34,0,0,0,0,1.34
"Dadra and Nagar Haveli<br>Sep-2019",0.35,0,0,0,0,0,0.35
"Maharashtra<br>Sep-2019",880.95,155.96,30.08,7.13,103.23,0.06,1177.41
"Gujarat<br>Aug-2019",1234.27,227.26,5.06,0,19.85,0,1486.4399999999998
"Madhya Pradesh<br>Aug-2019",497.17,214.92,0.14,0,25.4,0.76,738.39
"Maharashtra<br>Aug-2019",1529.75,162.81,33.21,3.61,91.85,0.02,1821.2499999999998
"Dadra and Nagar Haveli<br>Aug-2019",0,0.35,0,0,0,0,0.35
"Daman & Diu<br>Aug-2019",0,1.36,0,0,0,0,1.36
"Andhra Pradesh<br>Aug-2019",1546.76,423.71,11.45,1.69,17.93,0.72,2002.2600000000002
"Telangana<br>Aug-2019",36.09,458.38,12.13,7.66,3.62,0,517.88
"Chhattisgarh<br>Aug-2019",0,24,62.07,0,1.56,0,87.63
"Uttar Pradesh<br>Aug-2019",0,107.02,5.15,5.2,0.73,0,118.10000000000001
"Uttarakhand<br>Aug-2019",0,26.76,0,0,74.72,0,101.48
"Rajasthan<br>Aug-2019",622.76,529.64,27.15,0,0.17,0,1179.7200000000003
"Punjab<br>Aug-2019",0,124.46,29.25,1.78,75.63,0.02,231.14
