"Category","Per Capita Consumption"
"Meghalaya<br>2017-18",743.0047087793002
"Chhattisgarh<br>2017-18",2003.032235560262
"Haryana<br>2017-18",1990.177428902043
"Mizoram<br>2017-18",489.7722877950324
"West Bengal<br>2018-19",703.2648698280861
"Odisha<br>2018-19",1627.722779591872
"Manipur<br>2018-19",371.06686432855
"Lakshadweep<br>2018-19",553.5714285714286
"Mizoram<br>2018-19",617.4379425342644
"E R<br>2018-19",725.9307952297355
"All India<br>2018-19",1180.856497937833
"S R<br>2018-19",1524.810130558544
"Chandigarh<br>2018-19",978.0602937237179
"Goa<br>2018-19",2274.4366093464
"Nagaland<br>2018-19",356.1695777030837
"N E R<br>2018-19",406.7344028392429
"Uttarakhand<br>2018-19",1466.846083956337
"Bihar<br>2018-19",311.3097973361104
"Tamil Nadu<br>2018-19",1866.34117197172
"Meghalaya<br>2018-19",880.5528490815459
"Madhya Pradesh<br>2018-19",1084.002599895505
"Haryana<br>2018-19",2081.679523009728
"Puducherry<br>2018-19",1744.501165782581
"Andhra Pradesh<br>2018-19",1479.579176149637
"Punjab<br>2018-19",2046.008191480533
"Gujarat<br>2018-19",2377.690715950682
"Rajasthan<br>2018-19",1282.456217969047
"Kerala<br>2018-19",757.1017426233846
"Himachal Pradesh<br>2018-19",1417.926230336422
"Maharashtra<br>2018-19",1424.265404203051
"N R<br>2018-19",1044.674008675309
"Daman & Diu<br>2018-19",7758.050610966446
"W R<br>2018-19",1621.557907994346
"A.& N. Islands<br>2018-19",596.6671821305841
"Telangana<br>2018-19",1896.283688818686
"Jammu & Kashmir<br>2018-19",1322.289451098159
"Tripura<br>2018-19",513.5336683611664
"Delhi<br>2018-19",1548.482468325064
"Karnataka<br>2018-19",1395.697171558929
"Sikkim<br>2018-19",872.7336618256562
"Uttar Pradesh<br>2018-19",605.7398169105003
"Arunachal Pradesh<br>2018-19",703.23661479591
"Assam<br>2018-19",341.3891999259503
"Jharkhand<br>2018-19",938.4716924788878
"Chhattisgarh<br>2018-19",1960.656922859914
"D. & N. Haveli<br>2018-19",15178.68008300977
"Daman & Diu<br>2019-20",7560.974838248183
"Bihar<br>2019-20",332.1205273519145
"All India<br>2019-20",1207.890924613903
"Tamil Nadu<br>2019-20",1843.92589511384
"N E R<br>2019-20",402.4983356036902
"Haryana<br>2019-20",2229.226518246068
"A.& N. Islands<br>2019-20",585.4460618103194
"Arunachal Pradesh<br>2019-20",631.3775733454752
"Uttarakhand<br>2019-20",1527.901646691726
"Telangana<br>2019-20",2070.950750414448
"Puducherry<br>2019-20",1751.923181638998
"Goa<br>2019-20",2396.039147445711
"Mizoram<br>2019-20",628.7847516269945
"N R<br>2019-20",1088.630705009384
"Gujarat<br>2019-20",2387.935585045441
"Lakshadweep<br>2019-20",550.9484905567647
"Rajasthan<br>2019-20",1316.637164129984
"Meghalaya<br>2019-20",861.0902862280417
"Sikkim<br>2019-20",928.8926098959521
"Nagaland<br>2019-20",367.0435749524494
"Odisha<br>2019-20",1559.341830706938
"Manipur<br>2019-20",385.0134462492969
"Kerala<br>2019-20",825.6539167910144
"Himachal Pradesh<br>2019-20",1527.204520661568
"Maharashtra<br>2019-20",1417.734862994916
"Assam<br>2019-20",348.028629107371
"Chandigarh<br>2019-20",985.6682226761573
"S R<br>2019-20",1576.52883504297
"W R<br>2019-20",1630.525485005281
"Chhattisgarh<br>2019-20",2044.001714123209
"Andhra Pradesh<br>2019-20",1506.553462304572
"Delhi<br>2019-20",1571.581349837499
"Madhya Pradesh<br>2019-20",1085.960873217447
"Karnataka<br>2019-20",1468.062716691284
"Uttar Pradesh<br>2019-20",628.7279283796698
"Tripura<br>2019-20",425.3904948711378
"Jharkhand<br>2019-20",853.4878531110652
"Punjab<br>2019-20",2171.191820520062
"Jammu & Kashmir<br>2019-20",1383.635874121316
"E R<br>2019-20",730.6796448379625
"D. & N. Haveli<br>2019-20",15517.22812333313
"West Bengal<br>2019-20",756.6473535086377
