"Category","Per Capita Consumption"
"Bihar<br>2005-06",85.86
"Rajasthan<br>2005-06",572.2
"Jharkhand<br>2005-06",548.74
"N E R<br>2005-06",201.44
"Odisha<br>2005-06",633.93
"Karnataka<br>2006-07",805.5
"Tripura<br>2006-07",178.9
"E R<br>2006-07",357.67
"All India<br>2006-07",671.89
"Maharashtra<br>2006-07",975.43
"W R<br>2006-07",969.08
"N R<br>2006-07",623.09
"Daman & Diu<br>2006-07",8950.43
"S R<br>2006-07",836.56
"N E R<br>2006-07",203.98
"Madhya Pradesh<br>2006-07",581.73
"Nagaland<br>2006-07",173.29
"Telangana<br>2006-07",
"Odisha<br>2006-07",664.68
"Jharkhand<br>2006-07",659.15
"Bihar<br>2006-07",91
"Lakshadweep<br>2006-07",402.14
"Puducherry<br>2006-07",2692.81
"West Bengal<br>2006-07",396.79
"Kerala<br>2006-07",440.77
"Sikkim<br>2006-07",533.37
"Andhra Pradesh<br>2006-07",802.38
"Mizoram<br>2006-07",262.63
"D. & N. Haveli<br>2006-07",13310.33
"Meghalaya<br>2006-07",546.83
"Goa<br>2006-07",2097.71
"Manipur<br>2006-07",194.8
"Assam<br>2006-07",175.09
"Arunachal Pradesh<br>2006-07",299.11
"A.& N. Islands<br>2006-07",458.05
"Tamil Nadu<br>2006-07",1079.94
"Punjab<br>2006-07",1506.28
"Uttar Pradesh<br>2006-07",340.5
"Chhattisgarh<br>2006-07",934.78
"Rajasthan<br>2006-07",590.69
"Jammu & Kashmir<br>2006-07",758.63
"Chandigarh<br>2006-07",1486.68
"Haryana<br>2006-07",1208.21
"Himachal Pradesh<br>2006-07",872
"Gujarat<br>2006-07",1330.82
"Uttarakhand<br>2006-07",706.84
"Delhi<br>2006-07",1417.22
"West Bengal<br>2007-08",439.17
"Tamil Nadu<br>2007-08",1144.94
"Gujarat<br>2007-08",1486.31
"Rajasthan<br>2007-08",691.98
"Himachal Pradesh<br>2007-08",966.8
"Delhi<br>2007-08",1433.36
"Meghalaya<br>2007-08",629.19
"Daman & Diu<br>2007-08",9472.79
"Andhra Pradesh<br>2007-08",877.06
"W R<br>2007-08",1029.53
"Goa<br>2007-08",2168.77
"Tripura<br>2007-08",202.41
"Odisha<br>2007-08",751.54
"Nagaland<br>2007-08",199.35
"Jharkhand<br>2007-08",643.05
"Haryana<br>2007-08",1295.58
"Uttar Pradesh<br>2007-08",345.66
"D. & N. Haveli<br>2007-08",14787.38
"N R<br>2007-08",666.39
"Mizoram<br>2007-08",353.95
"Chhattisgarh<br>2007-08",873.57
"Puducherry<br>2007-08",2357.28
"S R<br>2007-08",887.97
"Kerala<br>2007-08",444.48
"Bihar<br>2007-08",100.69
"N E R<br>2007-08",229.16
"Karnataka<br>2007-08",843.67
"Sikkim<br>2007-08",732.22
"Lakshadweep<br>2007-08",426.86
"Arunachal Pradesh<br>2007-08",456.39
"Chandigarh<br>2007-08",1556.65
"All India<br>2007-08",717.13
"Uttarakhand<br>2007-08",855.54
"Madhya Pradesh<br>2007-08",623.11
"A.& N. Islands<br>2007-08",514.61
"Punjab<br>2007-08",1613.71
"Maharashtra<br>2007-08",1019.91
"E R<br>2007-08",388.03
"Telangana<br>2007-08",
"Assam<br>2007-08",188.03
"Jammu & Kashmir<br>2007-08",794.54
"Manipur<br>2007-08",222.31
"A.& N. Islands<br>2008-09",474.7
"Telangana<br>2008-09",
"Jharkhand<br>2008-09",695.55
"Manipur<br>2008-09",241.73
"Nagaland<br>2008-09",225.98
"Goa<br>2008-09",2259.85
"West Bengal<br>2008-09",442.45
"Kerala<br>2008-09",444
"Meghalaya<br>2008-09",655.38
"Andhra Pradesh<br>2008-09",928.16
"Punjab<br>2008-09",1552.99
"Jammu & Kashmir<br>2008-09",894.4
"N R<br>2008-09",688.15
"Himachal Pradesh<br>2008-09",1015.76
"Karnataka<br>2008-09",854.35
"Tamil Nadu<br>2008-09",1134.48
"Arunachal Pradesh<br>2008-09",447.47
"Sikkim<br>2008-09",806.29
"Chhattisgarh<br>2008-09",1417.6
"Mizoram<br>2008-09",378.29
"Odisha<br>2008-09",775.16
"W R<br>2008-09",1039.02
"D. & N. Haveli<br>2008-09",11094.49
"Lakshadweep<br>2008-09",453
"Puducherry<br>2008-09",1988.37
"Assam<br>2008-09",199.15
"Gujarat<br>2008-09",1457.29
"Rajasthan<br>2008-09",747.07
"Maharashtra<br>2008-09",969.4
"N E R<br>2008-09",241.85
"Delhi<br>2008-09",1374.16
"Daman & Diu<br>2008-09",6507.96
"Bihar<br>2008-09",107.14
"Uttarakhand<br>2008-09",920.69
"E R<br>2008-09",401.11
"Chandigarh<br>2008-09",1247.49
"All India<br>2008-09",733.54
"Haryana<br>2008-09",1278.85
"Madhya Pradesh<br>2008-09",583.75
"S R<br>2008-09",904.49
"Uttar Pradesh<br>2008-09",371.89
"Tripura<br>2008-09",203.75
"Bihar<br>2009-10",122.1093375065206
"Punjab<br>2009-10",1526.857195301028
"Assam<br>2009-10",204.7966045272969
"Jammu & Kashmir<br>2009-10",952.0156385751521
"Meghalaya<br>2009-10",675.1937984496124
"E R<br>2009-10",481.3608456527675
"Goa<br>2009-10",2263.633136094675
"Maharashtra<br>2009-10",1028.223569876901
"Uttarakhand<br>2009-10",1112.29363449692
"Lakshadweep<br>2009-10",418.1428571428571
"A.& N. Islands<br>2009-10",493.9787234042553
"Madhya Pradesh<br>2009-10",602.072966846132
"Kerala<br>2009-10",525.2475160724723
"Sikkim<br>2009-10",850
"Chandigarh<br>2009-10",1340
"Arunachal Pradesh<br>2009-10",470
"Karnataka<br>2009-10",903.2374039282665
"N E R<br>2009-10",257.9813996744942
"W R<br>2009-10",1116.91986417657
"All India<br>2009-10",778.7059693075398
"Andhra Pradesh<br>2009-10",966.9924686192468
"Tamil Nadu<br>2009-10",1131.582286056253
"Rajasthan<br>2009-10",736.2005730659025
"Nagaland<br>2009-10",218.0316742081448
"Tripura<br>2009-10",335.4747191011236
"Chhattisgarh<br>2009-10",1546.943109243697
"Puducherry<br>2009-10",1743.369230769231
"N R<br>2009-10",695.1094779383269
"D. & N. Haveli<br>2009-10",11863.63636363636
"Mizoram<br>2009-10",376.989898989899
"Daman & Diu<br>2009-10",7118.230769230769
"Himachal Pradesh<br>2009-10",1379.989552238806
"Telangana<br>2009-10",
"Jharkhand<br>2009-10",880.4285714285714
"Haryana<br>2009-10",1222.20523138833
"S R<br>2009-10",938.8793279646814
"Uttar Pradesh<br>2009-10",348.3689236111111
"Manipur<br>2009-10",240.2199170124481
"West Bengal<br>2009-10",550.1593841974191
"Delhi<br>2009-10",1651.261139311901
"Gujarat<br>2009-10",1615.241478155759
"Odisha<br>2009-10",874.2599403578529
"Kerala<br>2010-11",550.7998289748375
"Jharkhand<br>2010-11",749.2734813885761
"Uttar Pradesh<br>2010-11",411.9409425748115
"Puducherry<br>2010-11",1850.472778013586
"West Bengal<br>2010-11",537.8500555071755
"Odisha<br>2010-11",1070.34591760466
"Tamil Nadu<br>2010-11",1232.514854573325
"Rajasthan<br>2010-11",843.7497864516432
